The difference between Ram's age now and his age 10 years ago was 100,1
Age of Ram added to that of Ram is 100,1
Ram added to that of Ram is 100,1
Ram's added to that of Ram is 100,1
Ram's age added to that of Ram is 100,1
five times Ram's age added to that of Ram is 100,1
5 times Ram's age added to that of Ram is 100,5
A boy is 10 years older than his brother,10
A father is 4 times as old as his son,4
Fred is 4 years older than Barney,4
The sum of the ages of John and Mary is 32,1
"Five years ago, the father was 7 times as old as Lyn. How old is Lyn now?",7
"Five years ago, the father was 7 times as old as Lyn. How old is Lyn now?",7
"Five years ago, the father was 0 times as old as Lyn. How old is Lyn now?",0
"Five years ago, the father was 90 times as old as Lyn. How old is Lyn now?",NaN
"Five years ago, the father was 9 times as old as Lyn. How old is Lyn now?",9
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",90000
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",90000
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",90000
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",90000
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",NaN
"Five years ago, the father was 90000 times as old as Lyn. How old is Lyn now?",90000
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",NaN
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",NaN
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 50 times as old as Lyn. How old is Lyn now?",50
"Five years ago, the father was 50000 times as old as Lyn. How old is Lyn now?",50000
"Five years ago, the father was 500 times as old as Lyn. How old is Lyn now?",500
"Five years ago, the father was -5 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was -5 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was -5 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was -5 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was -5 times as old as Lyn. How old is Lyn now?",1
"Five years ago, the father was 5 times as old as Lyn. How old is Lyn now?",5
"Five years ago, the father was 90 times as old as Lyn. How old is Lyn now?",90
"Five years ago, the father was 1 times as old as Lyn. How old is Lyn now?",1
